Asset,Time Period,Length of Return,Candle Pattern,Value,Avg % Return Following Pattern,Avg % Return In General,Avg Volume Following Pattern,Avg Volume In General,p-value Returns,p-value Volume,Occurrences
SPY,5y,3,Long Legged Doji,100,0.2431,0.181,80038152.0,82318986,0.72,0.49,162
SPY,5y,3,Long Line Candle,-100,0.6973,0.149,87525957.0,81067836,0.03,0.13,100
SPY,5y,3,Long Line Candle,-200,,0.1834,,81845080,,,0
SPY,5y,3,Long Line Candle,100,0.188,0.1755,74588496.0,82885631,0.94,0.0,171
SPY,5y,3,Long Line Candle,200,,0.1834,,81845080,,,0
SPY,5y,3,Marubozu,-100,0.9675,0.1704,92122062.0,81587926,0.1,0.16,22
SPY,5y,3,Marubozu,-200,,0.1834,,81845080,,,0
SPY,5y,3,Marubozu,100,0.2501,0.1802,78634704.0,81925733,0.86,0.58,46
SPY,5y,3,Marubozu,200,,0.1834,,81845080,,,0
SPY,5y,3,Matching Low,100,-0.4349,0.1817,65165831.0,82044330,0.08,0.0,14
SPY,5y,3,Mat Hold,-100,,0.1834,,81845080,,,0
SPY,5y,3,Mat Hold,100,,0.1834,,81845080,,,0
SPY,5y,3,Morning Doji Star,100,1.6657,0.1841,109375433.0,81829432,1.0,1.0,1
SPY,5y,3,Morning Star,100,1.102,0.1836,110823906.0,81695388,0.44,0.25,6
SPY,5y,3,On-Neck Pattern,-100,-1.3332,0.1823,84550522.0,81866557,0.47,0.77,3
SPY,5y,3,On-Neck Pattern,100,,0.1834,,81845080,,,0
SPY,5y,3,Piercing Pattern,100,1.1771,0.1782,88331742.0,81777456,0.16,0.55,8
SPY,5y,3,Rickshaw Man,100,0.3994,0.1648,77830464.0,82337690,0.2,0.15,118
SPY,5y,3,Rising/Falling Three Methods,-100,,0.1834,,81845080,,,0
SPY,5y,3,Rising/Falling Three Methods,100,,0.1834,,81845080,,,0
SPY,5y,3,Separating Lines,-100,0.958,0.1824,102199933.0,81810471,1.0,1.0,1
SPY,5y,3,Separating Lines,100,1.2846,0.1831,82961533.0,81849049,0.2,0.97,2
SPY,5y,3,Shooting Star,100,,0.1834,,81845080,,,0
SPY,5y,3,Short Line Candle,100,0.1294,0.1932,74073805.0,82686117,0.75,0.0,96
SPY,5y,3,Spinning Top,100,0.0707,0.1836,83418248.0,81631705,0.56,0.64,127
SPY,5y,3,Stalled Pattern,100,,0.1834,,81845080,,,0
SPY,5y,3,Stick Sandwich,100,0.6968,0.1824,117937467.0,81800444,0.78,0.08,2
SPY,5y,3,Takuri (Dragonfly Doji with very long lower shadow),100,0.0466,0.1872,67880720.0,82122534,0.66,0.0,23
SPY,5y,3,Tasuki Gap,-100,1.4511,0.1839,84734967.0,81845514,1.0,1.0,1
SPY,5y,3,Tasuki Gap,100,0.209,0.1804,80540538.0,81863237,0.96,0.85,8
